WBS,단계,작업영역,모듈,세부작업,범위/설명,산정 근거(핵심 활동),선행작업,담당,복잡도,기준공수(일),버퍼율,버퍼공수(일),계산공수(일),"조정공수(일,입력)",최종공수(일),진행률(%),완료공수(일),잔여공수(일),상태,계획시작일(입력),계획종료일(자동),산출물,참조(제안서)
1.1,착수/관리,프로젝트 관리,Kickoff,킥오프 및 범위 확정,"목표/범위/성공지표 합의, 이해관계자 정리",프로젝트 착수 필수,,PM,하,1,10%,1,2,,2,,,,미착수,,,Kickoff 회의록/범위정의,p2
1.2,착수/관리,프로젝트 관리,Plan,WBS/일정/마일스톤 수립,"단계별 일정과 산출물, 의사결정 일정 수립",실행계획 수립,1.1,PM,중,3,15%,1,4,,4,,,,미착수,,,프로젝트 계획서,p2
1.3,착수/관리,프로젝트 관리,Governance,RACI/의사결정 체계 수립,작성자/승인자/관리자 역할과 승인 라인 정의,승인 체계 존재(p5),1.1,PM,중,3,15%,1,4,,4,,,,미착수,,,RACI/거버넌스 문서,p5
1.4,착수/관리,프로젝트 관리,Risk,리스크/이슈/변경관리 체계 수립,Graph 권한/메일 정책 등 리스크 등록 및 대응 계획,외부연동 리스크 관리 필요(p3),1.2,PM,중,3,15%,1,4,,4,,,,미착수,,,리스크/이슈 로그,p3
1.5,착수/관리,프로젝트 관리,Env,개발/검증/운영 환경 계획,"DEV/UAT/PRD 환경, 계정/권한/배포 방식 정의",운영 반영 전 단계 필요,1.2,Arch/Infra,중,3,15%,1,4,,4,,,,미착수,,,환경구성안,p2
2.1,요구사항,업무분석,Process,AS-IS 공지 업무 흐름 파악,공지 작성-승인-발송-이력 현행 절차/문제점 정리,개선 목적 정의(p2),1.1,PM/업무,중,3,15%,1,4,,4,,,,미착수,,,AS-IS 프로세스,p2
2.2,요구사항,업무분석,Process,TO-BE 프로세스(1~6단계) 정의,공지등록-승인-메일발송-캘린더등록-대시보드 집계,제안서 Step 1~6(p2),2.1,PM/업무,중,3,15%,1,4,,4,,,,미착수,,,TO-BE 프로세스,p2
2.3,요구사항,기능정의,Notice,공지 유형/중요도/태그 정책 정의,"유형(일반/점검/장애/정상화/보안/인프라), 중요도(높음/중간/낮음), 해시태그",입력항목(p4),2.2,PM/업무,중,3,15%,1,4,,4,,,,미착수,,,공지 정책 정의서,p4
2.4,요구사항,기능정의,Recipients,수신 법인/부서 선택 규칙 정의,"복수선택, 팝업 UX, 법인/부서 마스터 연계 방식",입력항목(p4),2.2,PM/업무,중,3,15%,1,4,,4,,,,미착수,,,수신대상 규칙,p4
2.5,요구사항,기능정의,SendPolicy,발송 정책(정기/즉시/묶음메일) 정의,"정기 발송시간(예: 08:30, 17:30) + 해당 시간 등록된 공지 1메일 묶음",정기발송 옵션(p4),2.2,PM/업무,상,5,20%,1,6,,6,,,,미착수,,,발송 정책/시나리오,p4
2.6,요구사항,기능정의,Approval,승인 프로세스/상태값 정의,승인대기/승인/반려/발송대기/발송완료/발송실패,승인체계/로그(p5),2.2,PM/업무,상,5,20%,1,6,,6,,,,미착수,,,승인/상태 정의서,p5
2.7,요구사항,연동정의,Graph,Outlook 연동 범위/자원 정의,"공지 전용 Mailbox/캘린더 자원, 개인 일정 영향 없음",Graph 연동 개념(p3),2.2,PM/Arch,상,5,20%,1,6,,6,,,,미착수,,,연동 범위 정의,p3
2.8,요구사항,데이터/통계,History,History/로그 요구 정의,"발송 현황 확인, 이력 추적, 검색기간/필터",History 화면(p5),2.2,PM/업무,중,3,15%,1,4,,4,,,,미착수,,,로그 요구사항,p5
2.9,요구사항,데이터/통계,Dashboard,Dashboard 지표/화면 요구 정의,월간뷰/최근공지/유형통계/부서별 수신현황/점검일정,Dashboard(p6-7),2.2,PM/업무,상,5,20%,1,6,,6,,,,미착수,,,대시보드 요구사항,p6-7
2.10,요구사항,확장,Completion,완료공지 연계 요구 정의,점검/장애 공지의 ‘완료공지 등록’ 및 일정 완료 표시,완료공지(p8),2.2,PM/업무,중,3,15%,1,4,,4,,,,미착수,,,완료공지 요구사항,p8
2.11,요구사항,확장,Channels,알림 채널 확장 요구 정의,이메일 외 메신저/KZ이음/포탈 연계 표준 API Guide,알림채널 확장(p9),2.2,PM/Arch,중,3,15%,1,4,,4,,,,미착수,,,채널 확장 요구사항,p9
2.12,요구사항,비기능,NFR,보안/감사/가용성 요구 정의,"권한, 감사로그, 장애시 재시도/알림, 개인정보 최소화",업무 통제/이력(p5),2.2,PM/보안,상,5,20%,1,6,,6,,,,미착수,,,NFR 문서,p5
2.13,요구사항,검증,Acceptance,수용 기준(UAT) 및 범위 승인,테스트 시나리오/성공지표 및 요구사항 승인,개발 착수 게이트,2.3-2.12,PM/업무,중,3,15%,1,4,,4,,,,미착수,,,요구사항 승인서,p2
3.1,설계,아키텍처,Architecture,시스템 아키텍처/구성도 설계,웹시스템 + 발송서비스 + Graph 연동 모듈 + DB,전체 체계(p2-3),2.13,Arch,상,5,20%,1,6,,6,,,,미착수,,,아키텍처 설계서,p2-3
3.2,설계,데이터,DataModel,데이터 모델(공지/승인/발송/로그) 설계,"주요 엔티티, 상태값, 인덱스, 보존기간",History/승인 필요(p5),2.13,BE/DBA,상,5,20%,1,6,,6,,,,미착수,,,ERD/DDL,p5
3.3,설계,API,API,API 명세(공지/승인/발송/대시보드) 작성,"REST 엔드포인트, 권한, 요청/응답, 에러코드",기능 구현 전 필수,3.2,BE,상,5,20%,1,6,,6,,,,미착수,,,API Spec,p4-7
3.4,설계,UI/UX,UI,화면 설계: 공지 등록,입력항목/검증/팝업(법인/부서)/옵션(일정등록),입력항목(p4),2.13,기획/FE,상,5,20%,1,6,,6,,,,미착수,,,화면설계서(공지등록),p4
3.5,설계,UI/UX,UI,화면 설계: 승인대기/결재,"승인목록, 상세보기, 승인/반려, 검색기간",승인체계(p5),2.13,기획/FE,중,3,15%,1,4,,4,,,,미착수,,,화면설계서(승인),p5
3.6,설계,UI/UX,UI,화면 설계: History,발송 상태/검색/필터/상세 로그,History(p5),2.13,기획/FE,중,3,15%,1,4,,4,,,,미착수,,,화면설계서(History),p5
3.7,설계,UI/UX,UI,화면 설계: Dashboard(월간뷰/통계),"월간 캘린더, 최근공지, 유형통계, 점검일정, 부서현황",Dashboard(p6-7),2.13,기획/FE,상,5,20%,1,6,,6,,,,미착수,,,화면설계서(Dashboard),p6-7
3.8,설계,스케줄,Scheduler,정기 발송 스케줄 설계,"발송시간 기준 공지 묶음 생성 규칙, 중복 방지",정기발송(p4),2.5,BE,상,5,20%,1,6,,6,,,,미착수,,,스케줄 설계서,p4
3.9,설계,연동,Graph,MS Graph 인증/권한 설계,"앱 등록, 권한(Send mail, calendar), 인증 방식",Graph 연동(p3),2.7,BE/Arch,초상,7,25%,2,9,,9,,,,미착수,,,연동 설계서(인증),p3
3.10,설계,연동,Graph,메일/캘린더 연동 설계,"메일 템플릿, 캘린더 이벤트 속성 매핑",Graph 연동(p3),2.7,BE,상,5,20%,1,6,,6,,,,미착수,,,연동 설계서(기능),p3
3.11,설계,로그/모니터링,Ops,로그/모니터링/알람 설계,"발송 실패 탐지, 재시도, 운영 대시보드/알람",발송실패 상태(p5),2.12,BE/Infra,상,5,20%,1,6,,6,,,,미착수,,,운영 설계서,p5
3.12,설계,테스트,TestPlan,테스트 계획/케이스 설계,승인/정기발송/즉시발송/연동 실패/대시보드 검증,UAT 기준(2.13),2.13,QA,중,3,15%,1,4,,4,,,,미착수,,,테스트 계획서,p2
4.1,개발,기반,Project Setup,프로젝트/레포 초기 세팅,"FE/BE 프로젝트 생성, 공통 라이브러리, 빌드 구성",개발 기본,3.1,FE/BE,중,3,15%,1,4,,4,,,,미착수,,,프로젝트 스캐폴딩,p2
4.2,개발,기반,Auth,권한/역할(Role) 구현,"작성자/승인자/관리자 권한 체크, 메뉴 노출",승인체계 기반(p5),3.3,BE/FE,상,5,20%,1,6,,6,,,,미착수,,,RBAC 모듈,p5
4.3,개발,마스터데이터,Org,법인/부서 마스터 연계/로드,"법인/부서 목록 제공, 검색, 최신화 배치(선택)",수신법인/부서(p4),3.2,BE,상,5,20%,1,6,,6,,,,미착수,,,Org 마스터 API,p4
4.4,개발,마스터데이터,Service Catalog,서비스 목록(영향 서비스) 관리,서비스 카탈로그 조회/관리(초기값 적재),영향서비스 선택(p4),3.2,BE,중,3,15%,1,4,,4,,,,미착수,,,서비스목록 API/관리,p4
4.5,개발,공지,Notice,공지 등록 UI 개발,유형/중요도/서비스/수신대상/발송시간/태그/일정옵션 입력,입력항목 구현(p4),3.4,FE,상,5,20%,1,6,,6,,,,미착수,,,공지등록 화면,p4
4.6,개발,공지,Notice,공지 등록 API 개발,"공지 저장, 검증, 상태 초기화(작성중/승인대기)",등록 필수,3.3,BE,상,5,20%,1,6,,6,,,,미착수,,,공지 CRUD API,p4
4.7,개발,공지,Notice,공지 수정/삭제(승인 전) 구현,"승인 전 수정/삭제, 상태 롤백 규칙",업무 통제,4.6,BE/FE,중,3,15%,1,4,,4,,,,미착수,,,공지 수정/삭제,p4-5
4.8,개발,공지,Hashtag,해시태그 입력/저장/검색 지원,"태그 입력, 검색어로 History/공지 조회 지원",태그 기능(p4),4.6,BE/FE,중,3,15%,1,4,,4,,,,미착수,,,태그 기능,p4
4.9,개발,공지,Outlook Option,Outlook 일정 등록 옵션 저장,일정등록 선택/일정시간 저장,일정등록 옵션(p4),4.6,BE/FE,중,3,15%,1,4,,4,,,,미착수,,,일정 옵션 필드,p4
5.1,개발,승인,Approval,승인요청 자동 상신,공지 등록 완료 시 매니저에게 승인요청 생성/알림,자동 상신(p4),4.6,BE,상,5,20%,1,6,,6,,,,미착수,,,승인요청 생성,p4-5
5.2,개발,승인,Approval,승인대기 목록 UI,"승인요청 목록 조회, 검색/필터(법인/기간/상태)",승인 목록(p5),3.5,FE,중,3,15%,1,4,,4,,,,미착수,,,승인목록 화면,p5
5.3,개발,승인,Approval,승인 상세 UI/처리(승인/반려),"상세보기, 코멘트(선택), 승인/반려 버튼, 이력 저장",승인체계(p5),5.2,FE/BE,상,5,20%,1,6,,6,,,,미착수,,,승인 처리 화면/로직,p5
5.4,개발,승인,Approval,승인 상태값/전이 로직 구현,"승인대기→발송대기/반려, 반려 후 수정→재요청",업무 통제 핵심,5.1,BE,상,5,20%,1,6,,6,,,,미착수,,,상태 전이 로직,p5
5.5,개발,발송,Template,메일 템플릿/본문 렌더링,공지제목/내용/문의처/해시태그 등을 표준 포맷으로 생성,메일 발송(p3-4),3.3,BE,중,3,15%,1,4,,4,,,,미착수,,,메일 템플릿,p3-4
5.6,개발,발송,Batch Send,정기 발송 배치(오전/오후) 구현,정기 시간에 해당 시간대 공지 묶음 조회→1메일로 발송,정기발송 묶음(p4),3.8,BE,초상,7,25%,2,9,,9,,,,미착수,,,정기 발송 배치,p4
5.7,개발,발송,Immediate Send,즉시 발송 처리 구현,즉시 발송 시간 선택 시 큐 적재 후 즉시 처리,즉시 발송 옵션(p4),3.8,BE,상,5,20%,1,6,,6,,,,미착수,,,즉시 발송,p4
5.8,개발,발송,Queue,발송 큐/재시도(실패 처리) 구현,"발송실패 시 재시도 정책, 실패 사유 저장",발송실패 상태(p5),5.6,BE,초상,7,25%,2,9,,9,,,,미착수,,,재시도 로직,p5
5.9,개발,발송,Dispatch,수신 대상 매핑(법인/부서→수신자 그룹),법인/부서 선택을 메일 수신자(그룹/리스트)로 변환,수신법인/부서(p4),4.3,BE,상,5,20%,1,6,,6,,,,미착수,,,수신자 매핑 모듈,p4
5.10,개발,발송,Status,발송 상태 업데이트/트랜잭션 처리,"발송전/후 상태 변경, 중복발송 방지 키",History 기반(p5),5.6,BE,상,5,20%,1,6,,6,,,,미착수,,,상태 업데이트,p5
5.11,개발,발송,Notifications,승인자 알림/리마인더(선택),승인대기 장기화 방지 리마인더(옵션),운영 편의,5.1,BE,중,3,15%,1,4,,4,,,,미착수,,,리마인더 배치(옵션),p5
6.1,연동,MS Graph,Prereq,Azure AD 앱 등록 및 환경별 설정,"앱 등록, Client/Secret 또는 인증서, Redirect URI 설정",Graph 연동 필수(p3),3.9,Infra/BE,초상,7,25%,2,9,,9,,,,미착수,,,앱 등록 정보,p3
6.2,연동,MS Graph,Permissions,권한 범위 확정 및 관리자 동의,"Mail.Send, Calendars.ReadWrite 등 권한, Admin consent",권한 이슈 리스크,6.1,Infra/BE,초상,7,25%,2,9,,9,,,,미착수,,,권한 승인 기록,p3
6.3,연동,MS Graph,Auth,토큰 발급/갱신 모듈 구현,"OAuth2 토큰 캐시, 만료 갱신, 오류 처리",인증 안정성,6.2,BE,초상,7,25%,2,9,,9,,,,미착수,,,토큰 모듈,p3
6.4,연동,MS Graph,Mailbox,공지 전용 Mailbox/캘린더 자원 생성(법인별),"계열사 별 공지 자원 생성, 주소/캘린더 구성",Step 2(p2),6.2,Infra,상,5,20%,1,6,,6,,,,미착수,,,공지 자원 목록,p2-3
6.5,연동,MS Graph,Mail,메일 발송 API 연동 구현,"템플릿→Graph sendMail 호출, 수신자/참조 처리",메일 발송(p3),6.3,BE,상,5,20%,1,6,,6,,,,미착수,,,메일 발송 연동,p3
6.6,연동,MS Graph,Calendar,캘린더 이벤트 생성/업데이트 구현,"공지 옵션 선택 시 이벤트 생성, 속성 매핑(제목/시간/설명)",일정 등록(p3-4),6.3,BE,상,5,20%,1,6,,6,,,,미착수,,,캘린더 연동,p3-4
6.7,연동,MS Graph,Calendar,개인 일정 영향 없음 검증,"자원 캘린더 공유 방식 확인, 권한/공유 설정 검증",제안서 문구(p3),6.6,Infra/BE,중,3,15%,1,4,,4,,,,미착수,,,검증 결과,p3
6.8,연동,MS Graph,Resilience,Graph API 실패 시나리오 처리,429/5xx/권한 오류 시 재시도/대체 경로/알림,운영 안정성,6.5,BE,초상,7,25%,2,9,,9,,,,미착수,,,예외 처리,p5
6.9,연동,MS Graph,Integration Test,연동 통합 테스트(메일+캘린더),UAT 환경에서 실제 자원으로 발송/등록 E2E 테스트,핵심 기능,6.5,QA/BE,상,5,20%,1,6,,6,,,,미착수,,,연동 테스트 리포트,p3-4
7.1,개발,이력,Logging,발송 로그 테이블/적재 구현,"발송결과, 실패사유, 수신대상, 발송시간 기록",공지 발송 로그(p5),3.2,BE,상,5,20%,1,6,,6,,,,미착수,,,SEND_LOG,p5
7.2,개발,이력,Logging,승인 로그/감사 로그 구현,승인/반려 누가/언제/코멘트 기록,승인 이력 필요(p5),3.2,BE,중,3,15%,1,4,,4,,,,미착수,,,APPROVAL_AUDIT,p5
7.3,개발,이력,History UI,History 목록/검색 UI 개발,"기간/법인/부서/상태/검색어 필터, 목록 표시",History(p5),3.6,FE,중,3,15%,1,4,,4,,,,미착수,,,History 화면,p5
7.4,개발,이력,History API,History 조회 API 개발,"필터 조건 기반 조회, 페이징, 상세 조회",History(p5),3.3,BE,중,3,15%,1,4,,4,,,,미착수,,,History API,p5
7.5,개발,대시보드,Dashboard,월간 캘린더 뷰 API/화면,월간 공지/점검 일정을 캘린더 형태로 제공,Monthly View(p6-7),3.7,FE/BE,상,5,20%,1,6,,6,,,,미착수,,,월간 캘린더,p6-7
7.6,개발,대시보드,Dashboard,최근 공지 목록 위젯 구현,최근 공지 리스트(유형/발송자/수신부서) 표시,최근 공지 목록(p6-7),3.7,FE/BE,중,3,15%,1,4,,4,,,,미착수,,,최근공지 위젯,p6-7
7.7,개발,대시보드,Dashboard,공지 유형 통계(건수) 구현,"유형별 건수 집계, 기간 필터",유형 통계(p7),3.7,BE/FE,중,3,15%,1,4,,4,,,,미착수,,,유형통계,p7
7.8,개발,대시보드,Dashboard,상태 KPI(결재대기/발송예정/실패/완료),상태별 건수 카드 표시,KPI 카드(p7),3.7,BE/FE,중,3,15%,1,4,,4,,,,미착수,,,상태 KPI,p7
7.9,개발,대시보드,Dashboard,점검 일정 목록 구현,점검/업데이트 일정 테이블(시작/종료/담당부서),시스템 점검 일정(p6),3.7,FE/BE,상,5,20%,1,6,,6,,,,미착수,,,점검 일정,p6-7
7.10,개발,대시보드,Dashboard,부서별 공지 수신 현황 구현(가정 포함),대상 부서 기준 수신 현황 시각화 (실제 열람 여부는 미집계 가능),부서별 현황(p7),3.7,BE/FE,상,5,20%,1,6,,6,,,,미착수,,,부서별 현황,p7
8.1,확장,완료공지,Completion,완료공지 등록 UI/기능,점검/장애 공지에 ‘완료공지 등록’ 버튼/폼 제공,완료공지 프로세스(p8),7.5,FE/BE,상,5,20%,1,6,,6,,,,미착수,,,완료공지 화면/기능,p8
8.2,확장,완료공지,Completion,작업 완료 상태 표시/연계,"원 공지 상태를 완료로 변경, 대시보드/캘린더 완료 표시",완료 상태 표시(p8),8.1,BE/FE,중,3,15%,1,4,,4,,,,미착수,,,완료 상태 연계,p8
8.3,확장,알림채널,API Guide,알림 연계 표준 API Guide 작성,"연계 규격, 인증, 페이로드, 오류 표준",API Guide(p9),2.11,Arch/BE,중,3,15%,1,4,,4,,,,미착수,,,연계 가이드,p9
8.4,확장,알림채널,Connectors,연계 서비스 표시/선택 UI,공지 작성 시 연계 서비스(이메일/메신저/포탈 등) 선택,복수선택(p9),8.3,FE,중,3,15%,1,4,,4,,,,미착수,,,채널 선택 UI,p9
8.5,확장,알림채널,Connectors,커넥터 Stub 구현(확장 대비),서비스별 연동 모듈 인터페이스/플러그인 구조,확장성 확보,8.3,BE,중,3,15%,1,4,,4,,,,미착수,,,커넥터 프레임,p9
9.1,테스트,품질,Unit,단위 테스트(핵심 로직),"승인 상태 전이, 발송 스케줄링, 수신자 매핑",로직 안정성,5.4,BE,중,3,15%,1,4,,4,,,,미착수,,,단위 테스트,p4-5
9.2,테스트,품질,SIT,통합 테스트(SIT),공지등록→승인→발송→캘린더→로그→대시보드 E2E,핵심 플로우(p2),6.9,QA,상,5,20%,1,6,,6,,,,미착수,,,SIT 결과서,p2-7
9.3,테스트,품질,UAT,사용자 인수 테스트(UAT) 지원,"업무부서 시나리오/수용기준 검증, 이슈 반영",업무 승인,9.2,QA/PM,상,5,20%,1,6,,6,,,,미착수,,,UAT 결과/서명,p2
9.4,테스트,보안,Security,보안 점검(권한/감사/비밀관리),"Secret 보관, 접근제어, 로그 마스킹, 권한 검증",NFR,6.2,보안/Infra,상,5,20%,1,6,,6,,,,미착수,,,보안 점검 결과,p5
9.5,테스트,성능,Perf,발송 성능/부하 테스트(선택),정기발송 시 다수 공지 묶음 처리 성능 검증,대량 발송 리스크,5.6,QA/BE,중,3,15%,1,4,,4,,,,미착수,,,성능 결과서,p4
9.6,테스트,안정화,Bugfix,버그 수정/회귀 테스트,"테스트 이슈 반영, 회귀 테스트 반복",오픈 전 필수,9.2,FE/BE/QA,상,5,20%,1,6,,6,,,,미착수,,,버그 리스트/수정내역,p2
10.1,배포/전환,운영,Deploy,배포 자동화/릴리즈 절차 구축,"빌드/배포 파이프라인, 롤백 절차",운영 반영,4.1,Infra,중,3,15%,1,4,,4,,,,미착수,,,배포 절차서,p2
10.2,배포/전환,운영,Config,운영 설정(자원/계정/발송시간) 적용,"법인별 자원 매핑, 발송시간, 권한 설정",자원 설정 필요,6.4,Infra/BE,상,5,20%,1,6,,6,,,,미착수,,,운영 설정값,p2-4
10.3,배포/전환,운영,Seed,초기 데이터 적재(법인/부서/서비스),마스터 데이터 적재 및 검증,필수 데이터,4.3,BE/DBA,중,3,15%,1,4,,4,,,,미착수,,,초기 데이터,p4
10.4,배포/전환,문서,Docs,사용자 가이드/운영자 매뉴얼 작성,공지 작성/승인/조회/대시보드 사용법 + 운영 절차,정착 필요,9.3,PM/기획,중,3,15%,1,4,,4,,,,미착수,,,가이드/매뉴얼,p2
10.5,배포/전환,교육,Training,교육/전파(작성자·승인자·운영자),"사용 방법 교육, Q&A",정착,10.4,PM/기획,하,1,10%,1,2,,2,,,,미착수,,,교육자료,p2
10.6,배포/전환,오픈,Go-live,오픈/모니터링(초기 안정화),"오픈, 발송 모니터링, 장애 대응",안정화,10.2,전원,상,5,20%,1,6,,6,,,,미착수,,,오픈 체크리스트/일지,p2
4.5.1,개발,공지,Notice UI,입력값 검증/UX(필수/길이/형식),"필수항목(*) 검증, 날짜/시간 포맷, 오류 메시지",입력항목(*) 다수(p4),4.5,FE,중,3,15%,1,4,,4,,,,미착수,,,검증 로직,p4
4.5.2,개발,공지,Recipients UI,법인/부서 선택 팝업 UI,검색/다중선택/선택값 요약 표시,수신팝업 필요(p4),4.5,FE,상,5,20%,1,6,,6,,,,미착수,,,수신대상 팝업,p4
4.5.3,개발,공지,SendTime UI,정기/즉시 발송시간 선택 UI,정기시간(08:30/17:30) 선택 시 안내문 포함,정기발송 안내(p4),4.5,FE,중,3,15%,1,4,,4,,,,미착수,,,발송시간 UI,p4
4.5.4,개발,공지,Preview,메일/캘린더 미리보기(선택),발송 전 본문/일정 내용 확인 화면,오발송 방지,4.5,FE/BE,중,3,15%,1,4,,4,,,,미착수,,,미리보기,p3-4
4.6.1,개발,공지,Notice API,서버 검증(권한/상태/수신대상),"승인 전 상태에서만 수정 허용, 권한 체크",통제 필요(p5),4.6,BE,상,5,20%,1,6,,6,,,,미착수,,,서버 검증,p5
4.6.2,개발,공지,Notice API,공지 내용 보안 처리(HTML/스크립트 차단),"본문 입력 시 XSS 방지, 허용 태그 제한",보안 요구(NFR),4.6,BE,중,3,15%,1,4,,4,,,,미착수,,,콘텐츠 정제,p5
5.6.1,개발,발송,Batch Send,스케줄 트리거/크론 설정,오전/오후 정기시간 트리거 설정 및 테스트,정기발송(p4),5.6,BE/Infra,중,3,15%,1,4,,4,,,,미착수,,,크론/스케줄 설정,p4
5.6.2,개발,발송,Batch Send,묶음메일 대상 선정/그룹핑 로직,시간대/법인/부서별 묶음 규칙 확정 및 구현,묶음메일 핵심(p4),5.6,BE,초상,7,25%,2,9,,9,,,,미착수,,,그룹핑 로직,p4
5.6.3,개발,발송,Batch Send,메일 합본 템플릿(공지 다건) 구현,다건 공지를 1메일에 섹션 형태로 렌더,묶음메일 요구,5.5,BE,상,5,20%,1,6,,6,,,,미착수,,,합본 템플릿,p4
5.6.4,개발,발송,Batch Send,중복 발송 방지(멱등키) 적용,같은 배치에서 중복 발송 방지 키/락 적용,오발송 방지,5.10,BE,상,5,20%,1,6,,6,,,,미착수,,,멱등 처리,p5
5.6.5,개발,발송,Batch Send,동시성 제어(락/큐) 및 모니터링,"배치 중복 실행 방지, 실행 로그",운영 안정성,5.6,BE,상,5,20%,1,6,,6,,,,미착수,,,락/모니터링,p5
6.3.1,연동,MS Graph,Auth,토큰 캐시 저장소 설계/구현,"메모리/Redis 등 캐시, 동시 갱신 방지",안정적 발송,6.3,BE,상,5,20%,1,6,,6,,,,미착수,,,토큰 캐시,p3
6.3.2,연동,MS Graph,Auth,토큰 갱신 실패/재시도 처리,만료/권한 오류 시 안전한 실패 처리 및 알림,운영 리스크,6.3,BE,상,5,20%,1,6,,6,,,,미착수,,,갱신 예외처리,p3
6.3.3,연동,MS Graph,Auth,Secret/인증서 보관 및 교체 절차,"Vault/Key 저장, 교체 시 무중단 전략",보안 요구,6.1,Infra,상,5,20%,1,6,,6,,,,미착수,,,비밀관리 절차,p5
6.5.1,연동,MS Graph,Mail,sendMail 요청 페이로드 구성,수신자/제목/본문/첨부(미사용) 구성,메일 발송(p3),6.5,BE,중,3,15%,1,4,,4,,,,미착수,,,sendMail 빌더,p3
6.5.2,연동,MS Graph,Mail,수신자 처리(BCC/그룹/제한) 정책 적용,대량 수신시 BCC 사용/그룹 주소 사용 정책,대량 발송 운영,5.9,BE,상,5,20%,1,6,,6,,,,미착수,,,수신자 정책,p4
6.5.3,연동,MS Graph,Mail,응답 파싱 및 결과 로그 적재,Graph 응답/에러를 발송 로그에 표준화 저장,History(p5),7.1,BE,중,3,15%,1,4,,4,,,,미착수,,,응답 로그,p5
6.6.1,연동,MS Graph,Calendar,이벤트 생성 페이로드/필드 매핑,시작/종료/시간대/본문 매핑 및 테스트,일정 등록(p3-4),6.6,BE,중,3,15%,1,4,,4,,,,미착수,,,이벤트 빌더,p3-4
6.6.2,연동,MS Graph,Calendar,공지 변경 시 이벤트 업데이트 규칙,공지 수정/취소 시 이벤트 수정/삭제 정책,정합성,4.7,BE,상,5,20%,1,6,,6,,,,미착수,,,업데이트/삭제 로직,p4
6.6.3,연동,MS Graph,Calendar,시간대/서머타임 처리 검증,"KST 고정 여부, 시간대 설정 오류 방지",운영 리스크,6.6.1,BE,중,3,15%,1,4,,4,,,,미착수,,,시간대 검증,p3-4
7.5.1,개발,대시보드,Monthly,월간뷰 조회 쿼리/집계 구현,기간별 공지/점검 일정 조회 최적화,Monthly View(p6),7.5,BE,중,3,15%,1,4,,4,,,,미착수,,,월간 집계 API,p6
7.5.2,개발,대시보드,Monthly,캘린더 UI 렌더링/상호작용,"일별 표시, 중요도 색/표시, 상태(완료) 표기",Monthly View(p6),7.5,FE,상,5,20%,1,6,,6,,,,미착수,,,캘린더 UI,p6
7.5.3,개발,대시보드,Monthly,캘린더 클릭 시 상세 팝업/드릴다운,"일정/공지 상세 정보 팝업, 링크 이동",운영 편의,7.5.2,FE/BE,중,3,15%,1,4,,4,,,,미착수,,,드릴다운,p6-7
7.3.1,개발,이력,History UI,History 상세(실패사유/수신대상) 화면,발송 실패 사유/수신 대상/Graph 응답 표시,발송실패(p5),7.3,FE,중,3,15%,1,4,,4,,,,미착수,,,History 상세,p5
7.4.1,개발,이력,History API,검색 인덱스/성능 튜닝,기간/법인/부서/상태 조회 성능,검색기간(p5),7.4,BE/DBA,중,3,15%,1,4,,4,,,,미착수,,,인덱스 적용,p5
8.3.1,확장,알림채널,API Guide,연계 가이드 목차/샘플 페이로드 작성,"예시 요청/응답, 오류코드, 버전관리",Guide(p9),8.3,Arch/BE,하,1,10%,1,2,,2,,,,미착수,,,가이드 초안,p9
8.3.2,확장,알림채널,API Guide,보안/인증 방식 정의,API 키/JWT/망연계 고려,연계 보안,8.3,Arch/보안,중,3,15%,1,4,,4,,,,미착수,,,보안 규격,p9
